occupation,mdn_weekly_earnings_total,mdn_weekly_earnings_men,mdn_weekly_earning_women
,,,
"Total, full-time wage and salary workers","$1,159","$1,261","$1,043"
,,,
"Management, professional, and related occupations","1,582","1,879","1,388"
"Management, business, and financial operations occupations","1,731","1,906","1,523"
Management occupations,"1,773","1,955","1,551"
Chief executives,"2,924","3,115","2,711"
General and operations managers,"1,650","1,826","1,362"
Legislators,–,–,–
Advertising and promotions managers,–,–,–
Marketing managers,"1,886","1,922","1,846"
Sales managers,"2,217","2,475","1,753"
Public relations and fundraising managers,"1,831",–,"1,743"
Administrative services managers,"1,494",–,"1,462"
Facilities managers,"1,375","1,399",–
Computer and information systems managers,"2,333","2,522","2,110"
Financial managers,"1,890","2,320","1,560"
Compensation and benefits managers,–,–,–
Human resources managers,"1,869","2,284","1,803"
Training and development managers,"1,536",–,–
Industrial production managers,"1,873","1,925","1,728"
Purchasing managers,"1,850","1,983","1,598"
"Transportation, storage, and distribution managers","1,288","1,320","1,232"
"Farmers, ranchers, and other agricultural managers",989,"1,046",–
Construction managers,"1,765","1,767","1,744"
Education and childcare administrators,"1,653","1,857","1,558"
Architectural and engineering managers,"2,899","2,898",–
Food service managers,"1,046","1,155",942
Funeral home managers,–,–,–
Entertainment and recreation managers,–,–,–
Lodging managers,"1,210",–,"1,061"
Medical and health services managers,"1,710","2,095","1,559"
Natural sciences managers,"1,538",–,–
Postmasters and mail superintendents,–,–,–
"Property, real estate, and community association managers","1,180","1,355","1,118"
Social and community service managers,"1,415","1,686","1,328"
Emergency management directors,–,–,–
"Personal service managers, all other",–,–,–
"Managers, all other","1,863","1,990","1,563"
Business and financial operations occupations,"1,610","1,804","1,469"
"Agents and business managers of artists, performers, and athletes",–,–,–
"Buyers and purchasing agents, farm products",–,–,–
"Wholesale and retail buyers, except farm products","1,184","1,465",880
"Purchasing agents, except wholesale, retail, and farm products","1,428","1,538","1,322"
"Claims adjusters, appraisers, examiners, and investigators","1,348","1,583","1,231"
Compliance officers,"1,517","1,990","1,402"
Cost estimators,"1,646","1,731",–
Human resources workers,"1,453","1,520","1,424"
"Compensation, benefits, and job analysis specialists",–,–,–
Training and development specialists,"1,417","1,466","1,337"
Logisticians,"1,205","1,352","1,003"
Project management specialists,"1,854","1,889","1,803"
Management analysts,"1,937","2,006","1,894"
"Meeting, convention, and event planners","1,170",–,"1,153"
Fundraisers,"1,729",–,–
Market research analysts and marketing specialists,"1,659","1,881","1,613"
"Business operations specialists, all other","1,408","1,619","1,243"
Accountants and auditors,"1,642","1,853","1,517"
Property appraisers and assessors,–,–,–
Budget analysts,–,–,–
Credit analysts,–,–,–
Financial and investment analysts,"1,889","1,985","1,734"
Personal financial advisors,"1,922","2,309","1,462"
Insurance underwriters,"1,331",–,"1,289"
Financial examiners,–,–,–
Credit counselors and loan officers,"1,388","1,988","1,071"
"Tax examiners and collectors, and revenue agents",–,–,–
Tax preparers,"1,364",–,–
Other financial specialists,"1,555","1,996","1,352"
